,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
Unnamed 70,28154,1771549,303,video_av1,simulcast,2,0,28000.0,0.0,0.0,0.0,30.305631,3.953614,1.486924,0.462,27.759,1.4824709999999903,0,31.879885,701,0,702,2
Unnamed 71,27013,1699796,304,video_av1,simulcast,2,1,27800.0,0.0,0.0,0.0,27.546426,3.770964,1.441068,0.204,27.695,1.5382249999999908,0,29.07208,679,0,680,1
Unnamed 72,27716,1683494,305,video_av1,simulcast,2,2,28000.0,0.0,0.0,0.0,29.070805,3.914323,1.40274,0.445,27.787,1.6088369999999916,0,30.557341,671,0,672,2
281,17353,284495,306,video_vp9,svc,0,0,28000.0,2000.0,7.142857142857142,0.0,15.959958,0.249197,0.214534,0.0,28.009,3.8956589999999975,0,16.194653,212,0,213,0
281,24912,390044,307,video_vp9,svc,0,1,28000.0,2000.0,7.142857142857142,0.0,21.211364,0.158014,0.108444,0.266,27.981,2.088393,0,21.342309,415,1,416,1
281,26703,534893,308,video_vp9,svc,0,2,27999.0,999.0,3.567984570877531,0.0,16.110953,0.2521609999999999,0.5189619999999999,0.221,27.982,1.3361879999999948,0,16.706367,804,15,818,1
281,20877,855521,309,video_vp9,svc,1,0,28000.0,0.0,0.0,0.0,4.041169,0.23933,0.4665939999999999,15.915,26.267,50.693459,0,4.521766,121,202,215,6
281,25004,1189257,31,video_vp9,simulcast,1,1,28000.0,3408.8291015625,12.1743896484375,6391.1708984375,6.368628999999999,1.2108759999999998,1.091728,9.696,26.57,30.152586,0,7.510185,426,75,426,4
281,26846,1001839,310,video_vp9,svc,1,1,28000.0,0.0,0.0,0.0,10.545764,0.253413,0.820052,11.417,28.029,34.227428999999944,0,11.396962,267,295,389,5
281,28433,1419499,311,video_vp9,svc,1,2,28000.0,0.0,0.0,0.0,19.056039,0.245671,1.316409,10.763,28.011,31.617449000000185,0,20.427726,473,575,708,5
281,27849,1842034,312,video_vp9,svc,2,0,28000.0,0.0,0.0,0.0,10.67158,0.3803399999999999,0.916328,16.54,27.832,38.93455200000007,0,11.111237,253,415,451,11
281,29844,1955384,313,video_vp9,svc,2,1,28001.0,0.0,0.0,0.0,10.241396,0.5746859999999999,1.0282909999999998,13.736,27.073,36.42717300000006,0,10.989427,255,499,483,9
