,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,19982,506063,326,video_av1,svc,0,2,28000.0,22333.62890625,79.76296037946429,66.37109375,20.952438,0.926384,0.436641,0.267,17.816,0.8283660000000018,0,21.441182,515,0,515,1
281,18203,653449,327,video_av1,svc,1,0,28000.0,12333.0869140625,44.04673897879464,10066.9130859375,6.822048,1.11715,0.12519,10.579,15.397,34.254875,0,6.952914,114,99,150,5
Unnamed 52,20458,756168,328,video_av1,svc,1,1,28000.0,83.40283203125,0.2978672572544643,9516.59716796875,2.487153,0.613166,0.1337549999999999,10.269,14.922,32.251867999999995,0,2.6379,131,168,179,5
281,20366,1053177,329,video_av1,svc,1,2,28000.0,0.0,0.0,0.0,6.152041,0.783829,0.1324499999999999,10.403,15.459,33.298517,0,6.272937,125,360,230,5
281,27665,1656429,33,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,16.677066,2.188698,1.801796,1.776,27.985,2.4320450000000053,0,18.541671,657,22,659,4
281,20076,1015068,330,video_av1,svc,2,0,28000.0,0.0,0.0,0.0,6.030297,0.896762,0.1408049999999999,13.23,17.759,41.092061,0,6.171548,123,439,212,6
281,20890,1063275,331,video_av1,svc,2,1,28000.0,0.0,0.0,0.0,3.987382,0.6414529999999999,0.145618,13.215,17.945,42.562441,0,4.151808,130,463,233,5
Unnamed 53,20738,1022961,332,video_av1,svc,2,2,28000.0,0.0,0.0,0.0,3.317194,0.778624,0.139905,13.345,17.975,41.935099,0,3.470388,131,438,219,6
281,17112,449629,333,video_av1,simulcast,0,0,28000.0,20600.0,73.57142857142858,0.0,1.819723,0.7544759999999999,0.229622,0.0,27.781,4.542932999999995,0,2.066474,181,0,181,0
Unnamed 54,24440,580013,334,video_av1,simulcast,0,1,28000.0,13000.0,46.42857142857143,0.0,5.714295,0.839592,0.3804309999999999,0.0,27.771,2.365244999999999,0,6.132874,364,0,364,0
Unnamed 55,27099,849688,335,video_av1,simulcast,0,2,28000.0,10000.0,35.714285714285715,0.0,22.948341,1.071876,0.675362,0.0,27.904,1.4692079999999903,0,23.690448,710,0,710,0
Unnamed 56,22925,1064490,336,video_av1,simulcast,1,0,28000.0,10721.955078125,38.292696707589286,1078.044921875,10.79306,2.473303,0.6248819999999999,1.084,27.804,3.688049999999997,0,11.46257,441,0,441,2
281,25960,1312265,337,video_av1,simulcast,1,1,28000.0,7104.345947265625,25.372664097377235,495.654052734375,20.148712,2.768711,0.689449,0.5,27.998,2.0973860000000024,0,20.892192,529,0,531,2
281,27326,1646887,338,video_av1,simulcast,1,2,28000.0,6000.0,21.428571428571427,0.0,27.607771,3.610302,0.7952889999999999,0.216,28.031,1.7247149999999936,0,28.462184,654,0,656,1
281,27538,1720879,339,video_av1,simulcast,2,0,28000.0,0.0,0.0,0.0,28.738392,3.823254,0.8089609999999999,0.236,27.999,1.6219069999999898,0,29.60738,695,0,697,1
281,26973,1542372,34,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,7.203207,1.407611,1.091494,7.221,28.036,21.058802000000053,0,8.343494999999999,509,118,512,5
281,27884,1693539,340,video_av1,simulcast,2,1,28000.0,0.0,0.0,0.0,26.738224,3.441731,0.802804,0.47,28.031,1.7040769999999914,0,27.600045,672,0,675,2
281,27454,1697219,341,video_av1,simulcast,2,2,28000.0,0.0,0.0,0.0,24.614342,4.012036999999999,0.8264429999999999,0.443,27.854,1.5672979999999892,0,25.500902,691,0,692,2
281,17397,309285,342,video_vp9,svc,0,0,28000.0,2000.0,7.142857142857142,0.0,9.124766,0.3166279999999999,0.232573,0.0,27.967,3.828424999999996,0,9.377536,212,0,212,0
281,24674,712357,343,video_vp9,svc,0,1,28000.0,26122.169921875,93.29346400669642,877.830078125,2.850832,0.05951,0.2309989999999999,1.078,28.025,3.164123000000005,0,3.106373,398,0,398,1
281,27059,537598,344,video_vp9,svc,0,2,28000.0,800.0,2.857142857142857,0.0,16.670147,0.165073,0.405529,0.0,28.054,1.3200319999999917,0,17.144717999999997,811,10,820,0
281,19174,2213609,345,video_vp9,svc,1,0,28000.0,27200.0,97.14285714285714,0.0,1.481876,0.060439,0.566682,0.0,28.01,3.8040779999999983,0,2.059979,210,0,210,0
281,26815,1007573,346,video_vp9,svc,1,1,27999.0,0.0,0.0,0.0,12.847596,0.3202359999999999,0.696726,11.255,27.991,33.70314699999993,0,13.57395,274,288,393,5
281,28101,1400393,347,video_vp9,svc,1,2,28000.0,0.0,0.0,0.0,20.281007,0.3948879999999999,0.868613,11.358,27.993,32.53732500000003,0,21.195073,465,574,693,6
281,27246,1753906,348,video_vp9,svc,2,0,28000.0,0.0,0.0,0.0,11.658205,0.60644,0.700997,17.03,26.758,37.65479600000007,0,11.949466,254,425,431,12
281,34304,6191828,349,video_vp9,svc,2,1,28000.0,284.756103515625,1.016986083984375,8515.243896484375,1.7049489999999998,0.057566,0.312579,17.279,27.406,53.93411999999999,0,1.719304,55,897,270,8
281,27229,1542820,35,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,20.669393,2.184698,1.332293,6.488,28.036,13.085223999999988,0,22.056744,551,79,552,8
281,29330,1973557,350,video_vp9,svc,2,2,27997.0,0.0,0.0,0.0,18.053053,0.411933,0.957775,14.159,27.976,35.190570000000065,0,18.67948,341,638,528,10
281,15979,398395,351,video_vp9,simulcast,0,0,28000.0,11904.381103515625,42.51564679827009,2895.618896484375,0.43556,0.2766329999999999,0.203572,14.053,26.129,42.48925300000001,0,0.648222,95,64,95,5
281,25476,658450,352,video_vp9,simulcast,0,1,28000.0,24948.0,89.1,3052.0,2.396278,0.046464,0.188195,3.052,27.958,11.338421999999998,0,2.606737,365,45,365,1
281,27553,889028,353,video_vp9,simulcast,0,2,28000.0,18800.0,67.14285714285714,0.0,13.633161,0.655837,1.05599,0.0,27.966,1.2223019999999956,0,14.763022,757,3,760,0
281,22669,964449,354,video_vp9,simulcast,1,0,28000.0,7742.0,27.650000000000002,6258.0,4.213077,1.089482,0.709714,6.258,26.599,21.622115,0,4.961459,420,20,420,2
281,25365,1218853,355,video_vp9,simulcast,1,1,28000.0,3496.85107421875,12.488753836495537,9503.14892578125,7.106764,1.216836,0.82633,9.704,26.339,30.06989500000002,0,7.974564,426,87,429,4
281,27610,1557239,356,video_vp9,simulcast,1,2,28000.0,3000.0,10.714285714285714,0.0,11.51906,1.93568,1.036429,9.578,28.023,30.24479700000005,0,12.606097,510,131,514,4
281,27383,1593231,357,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,7.705417,2.003551,1.06875,8.341,28.068,22.211852000000043,0,8.822600999999999,523,127,526,5
281,27109,1593658,358,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,20.562718,1.943842,1.7584,1.116,27.088,2.004601999999997,0,22.383668,602,21,604,4
281,27413,1622809,359,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,19.228873,2.428312,1.916613,0.207,28.008,1.6665339999999973,0,21.208519,646,3,647,1
Unnamed 57,14321,291347,36,video_av1,svc,0,0,28000.0,26600.0,95.0,0.0,5.769826,0.904712,0.159307,0.0,17.691,2.505529000000002,0,5.949755,132,0,132,0
281,18086,372247,37,video_av1,svc,0,1,28000.0,22199.56103515625,79.28414655412946,200.43896484375,19.432628,1.112175,0.303463,0.236,17.937,1.388133,0,19.754837,256,1,257,1
281,20225,491747,38,video_av1,svc,0,2,28000.0,24523.0,87.58214285714286,277.0,19.874449,0.757828,0.4453379999999999,0.277,17.754,0.817714000000001,0,20.374991,511,0,511,1
281,17940,661943,39,video_av1,svc,1,0,28001.0,12467.748046875,44.526081378790046,10132.251953125,4.37298,0.702919,0.13323,10.611,15.406,32.639304,0,4.522523,129,90,163,6
281,20360,805321,4,video_av1,svc,1,1,28000.0,12903.2080078125,46.0828857421875,9696.7919921875,1.929517,0.836236,0.127734,10.226,14.818,31.976358,0,2.072903,130,170,189,5
281,20326,813886,40,video_av1,svc,1,1,28000.0,12915.43310546875,46.12654680524553,9684.56689453125,2.918449,0.892443,0.145694,10.322,14.852,31.9934,0,3.082665,129,125,179,5
281,20408,1026701,41,video_av1,svc,1,2,28000.0,0.0,0.0,0.0,5.444215,0.785901,0.135937,10.367,15.189,32.244741,0,5.542062,122,314,215,5
Unnamed 58,19575,1014957,42,video_av1,svc,2,0,28000.0,0.0,0.0,0.0,2.291695,0.70634,0.128912,13.35,17.93,41.729654,0,2.435138,131,454,226,6
281,21655,1043322,43,video_av1,svc,2,1,28000.0,0.0,0.0,0.0,2.158955,0.867717,0.118957,13.658,18.2,43.686966,0,2.289695,131,457,228,6
281,20743,1014625,44,video_av1,svc,2,2,28000.0,0.0,0.0,0.0,7.386184,0.760444,0.148993,13.278,18.2,41.62238599999999,0,7.517306,123,435,214,6
281,17261,465937,45,video_av1,simulcast,0,0,27999.0,23399.0,83.57084181577915,0.0,1.781054,0.723425,0.23645,0.0,27.837,4.409266999999996,0,2.038197,186,0,186,0
Unnamed 59,24013,576353,46,video_av1,simulcast,0,1,28000.0,14400.0,51.42857142857142,0.0,5.957584,0.975723,0.3976159999999999,0.243,27.789,2.4585110000000023,0,6.388857,360,0,361,1
281,27057,855066,47,video_av1,simulcast,0,2,28000.0,8800.0,31.428571428571427,0.0,18.525634,1.090353,0.6466839999999999,0.0,27.97,1.420101999999992,0,19.235489,712,0,712,0
281,22961,1058009,48,video_av1,simulcast,1,0,28000.0,11525.006103515625,41.160736083984375,1074.993896484375,11.043112,2.796281,0.564336,1.149,27.813,3.9873549999999978,0,11.532226,425,1,430,2
Unnamed 60,25078,1247473,49,video_av1,simulcast,1,1,28000.0,5827.590087890625,20.812821742466518,1372.409912109375,16.231182,2.94263,0.649984,1.573,27.768,3.126888000000002,0,16.934739,511,0,512,3
281,20753,1005258,5,video_av1,svc,1,2,28000.0,0.0,0.0,0.0,2.231258,0.952868,0.1376099999999999,13.286,17.84,41.303038,0,2.387112,131,457,224,6
281,27639,1715521,50,video_av1,simulcast,1,2,28000.0,7357.0,26.275,243.0,22.417061,3.893221,0.7864439999999999,0.243,27.777,1.56265099999999,0,23.264822,676,0,679,1
281,26980,1683129,51,video_av1,simulcast,2,0,28000.0,0.0,0.0,0.0,29.973413,3.385889,0.818166,0.441,28.036,1.7256619999999925,0,30.852222,668,0,670,2
281,27456,1710680,52,video_av1,simulcast,2,1,28000.0,0.0,0.0,0.0,33.570922,3.48585,0.8114899999999999,0.666,28.002,1.72019799999999,0,34.434075,680,1,682,3
Unnamed 61,27937,1705932,53,video_av1,simulcast,2,2,28000.0,0.0,0.0,0.0,26.76691,3.47576,0.800196,0.681,27.779,1.5917949999999927,0,27.633675,679,0,682,3
281,17177,305431,54,video_vp9,svc,0,0,28000.0,2000.0,7.142857142857142,0.0,8.698616,0.139509,0.21982,0.0,27.842,3.813367999999999,0,8.939206,211,0,212,0
281,24592,357571,55,video_vp9,svc,0,1,28000.0,2000.0,7.142857142857142,0.0,36.094157,0.159753,0.343365,0.256,27.929,2.123459000000002,0,36.478561,411,1,415,1
281,26582,482484,56,video_vp9,svc,0,2,28000.0,800.0,2.857142857142857,0.0,14.886482,0.189191,0.4251069999999999,0.223,27.971,1.318634999999994,0,15.386124,812,7,818,1
281,20385,788247,57,video_vp9,svc,1,0,28000.0,0.0,0.0,0.0,6.411598,0.339536,0.422296,10.985,27.959,33.79503699999997,0,6.849459,174,141,235,5
281,26584,1115359,58,video_vp9,svc,1,1,28000.0,0.0,0.0,0.0,7.28899,0.3796469999999999,0.501583,15.933,26.57,51.669358,0,7.808638999999999,172,400,343,5
281,28244,1392193,59,video_vp9,svc,1,2,28000.0,0.0,0.0,0.0,18.816116,0.353643,0.925182,10.566,27.993,31.238857000000205,0,19.733616,479,557,703,5
281,21339,1022659,6,video_av1,svc,2,0,28000.0,0.0,0.0,0.0,2.507671,0.871238,0.1343929999999999,13.661,18.216,43.755548,0,2.660218,131,447,216,6
281,27496,1821564,60,video_vp9,svc,2,0,28000.0,0.0,0.0,0.0,10.668213,0.316418,0.6826019999999999,15.54,26.826,38.75308000000008,0,11.031811,240,439,455,9
281,29577,1825940,61,video_vp9,svc,2,1,28000.0,0.0,0.0,0.0,9.168036,0.294039,0.3942509999999999,13.365,27.747,49.17104299999998,0,8.653628,199,551,392,5
281,30284,2678829,62,video_vp9,svc,2,2,28000.0,0.0,0.0,0.0,10.118763,0.4010249999999999,0.617818,15.843,27.985,39.61431500000006,0,10.416268,249,683,598,10
281,16270,411328,63,video_vp9,simulcast,0,0,28000.0,12961.0,46.28928571428572,3039.0,0.556719,0.2713399999999999,0.1856189999999999,12.159,26.081,39.443411,0,0.7509659999999999,101,69,101,4
281,23201,568045,64,video_vp9,simulcast,0,1,28000.0,10302.971923828125,36.79632829938616,2897.028076171875,0.8702989999999999,0.315125,0.077861,13.829,26.176,40.83996399999999,0,0.955047,181,140,181,5
281,27758,899309,65,video_vp9,simulcast,0,2,28000.0,15600.0,55.714285714285715,0.0,7.450682,0.357062,0.828226,0.0,28.007,1.2368009999999965,0,8.343672999999999,761,0,762,0
281,22728,953303,66,video_vp9,simulcast,1,0,28000.0,5224.1650390625,18.657732282366073,8375.8349609375,6.820194,1.164336,0.8031349999999999,8.519,26.604,22.742468,0,7.664417999999999,417,31,418,5
281,25318,1200833,67,video_vp9,simulcast,1,1,28001.0,2100.194091796875,7.500425312656245,4500.805908203125,9.500777,1.3365859999999998,0.7592829999999999,10.979,26.399,30.927667,0,10.300964,411,95,411,7
