id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2196301879,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,90709,213,true,0,0,270,480,87,87,28449,1,2,SV173,0,0,0,1,17238,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.474,0,3.532167
OT01V4021281234,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,90709,213,true,0,0,270,480,87,87,28449,1,2,SV173,0,0,0,1,17238,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.474,0,3.532167
OT01V4021281234,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284496.419,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600284496.419,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,97094,230,true,0,0,270,480,93,93,31152,1,2,SV173,0,0,0,1,18394,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.576,0,3.532178
OT01V4021281234,1776600284496.419,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284496.419,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600284496.419,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,97094,230,true,0,0,270,480,93,93,31152,1,2,SV173,0,0,0,1,18394,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.576,0,3.532178
