

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V414628560,1776269091513.627,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,153,0,0,108688,0,270,480,35,113,0,30,113,0,4900,0.250848,113,1.950979,1.950979,1,1776269091505.136,0,0,0,0,0.103653,0.204202,0,4.292,0,0.47633,0.21645199999999984,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091513.627,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,153,0,0,108688,0,270,480,35,113,0,30,113,0,4900,0.250848,113,1.950979,1.950979,1,1776269091505.136,0,0,0,0,0.103653,0.204202,0,4.292,0,0.47633,0.21645199999999984,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091713.666,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,160,0,0,115168,0,270,480,36,119,0,30,119,0,5124,0.269721,119,2.054264,2.054264,1,1776269091704.565,0,0,0,0,0.103685,0.21484799999999998,0,4.491,0,0.506663,0.2231389999999998,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091713.666,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,160,0,0,115168,0,270,480,36,119,0,30,119,0,5124,0.269721,119,2.054264,2.054264,1,1776269091704.565,0,0,0,0,0.103685,0.21484799999999998,0,4.491,0,0.506663,0.2231389999999998,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091913.714,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,168,0,0,122299,0,270,480,38,125,0,30,125,0,5380,0.287385,125,2.157839,2.157839,1,1776269091909.314,0,0,0,0,0.10377399999999999,0.225797,0,4.696,0,0.535998,0.23021799999999976,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091913.714,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,168,0,0,122299,0,270,480,38,125,0,30,125,0,5380,0.287385,125,2.157839,2.157839,1,1776269091909.314,0,0,0,0,0.10377399999999999,0.225797,0,4.696,0,0.535998,0.23021799999999976,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092113.621,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.002,0,175,0,0,128355,0,270,480,39,131,0,30,131,0,5604,0.30381199999999997,131,2.262543,2.262543,1,1776269092106.784,0,0,0,0,0.103805,0.23596099999999998,0,4.894,0,0.563334,0.23685199999999973,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092113.621,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.002,0,175,0,0,128355,0,270,480,39,131,0,30,131,0,5604,0.30381199999999997,131,2.262543,2.262543,1,1776269092106.784,0,0,0,0,0.103805,0.23596099999999998,0,4.894,0,0.563334,0.23685199999999973,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092313.654,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.005,0,185,0,0,136925,0,270,480,41,137,0,30,137,0,5924,0.366064,137,2.3771519999999997,2.3771519999999997,1,1776269092304.606,0,0,0,0,0.15226699999999999,0.249293,0,5.097,0,0.639649,0.2468789999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092313.654,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.005,0,185,0,0,136925,0,270,480,41,137,0,30,137,0,5924,0.366064,137,2.3771519999999997,2.3771519999999997,1,1776269092304.606,0,0,0,0,0.15226699999999999,0.249293,0,5.097,0,0.639649,0.2468789999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
